uniqueID,AnomTot,AnomKill,AnomWound,primary.source,year,sequence,cluster,date,killed,wounded,total,offender.race,offender.gender,offender.age,offender.county,offender.state,attack.city,attack.county,attack.state,attack.location.name,location.type,location.area,location.atmosphere,location.environment,attack.latitude,attack.longitude,attack.site.count,firearm.count,weapons.description,assault.weapon.used,offender.count,prior.mental.health.warnings,victim.offender.relationship,BlackSwan
Mother Jones|1998|35878|15|Jonesboro,y,,,Mother Jones,1998,1,,3/24/1998,5,10,15,White,Male,11; 13,Craighead,Arkansas,Jonesboro,Craighead,Arkansas,Westside Middle School,School,Indoors,Public,Non-residential,35.82099,-90.6683,1,9,"FIE 380, .380-caliber Star semiautomatic handguns; .44 Magnum Ruger, .30-06 Remington 742, .30-caliber Universal M-1 carbine replica rifles; .38-caliber Charter Arms, .357-caliber Ruger Security Six, .38-caliber Smith & Wesson revolvers; .22-caliber Double Deuce Buddie two-shot, .38-caliber Davis Industries two-shot derringers",N,2,Y,Known; Unknown,y
Mother Jones|1998|35936|29|Springfield,y,,y,Mother Jones,1998,2,,5/21/1998,4,25,29,White,Male,15,Lane,Oregon,Springfield,Lane,Oregon,Thurston High School,School,Indoors,Public,Non-residential,44.04624,-123.022,1,3,"9mm Glock, .22-caliber Ruger semiautomatic handguns, .22-caliber Ruger rifle",N,1,Y,Known; Unknown,y
Mother Jones|1999|36270|37|Littleton,y,y,y,Mother Jones,1999,3,,4/20/1999,13,24,37,White,Male,17; 17,Arapahoe,Colorado,Littleton,Arapahoe,Colorado,Columbine High School,School,Indoors,Public,Non-residential,39.60403,-105.074,1,4,"9mm Intratec DC-9 semiautomatic handgun; 9mm Hi-Point 995 carbine rifle; 12-gauge sawed-off Savage Stevens 311D, 12-gauge sawed-off Savage Springfield 67H pump-action shotguns",Y,2,Y,Known; Unknown,y
Mother Jones|1999|36370|22|Atlanta,y,y,y,Mother Jones,1999,4,,7/29/1999,9,13,22,White,Male,44,Henry,Georgia,Atlanta,Fulton,Georgia,All-Tech Investment Group; Momentum Securities,Office,Indoors,Private,Non-residential,33.85012,-84.3778,2,4,".45-caliber Colt 1911-A1, 9mm Glock 17, .25-caliber Raven Arms MP-25 semiautomatic handguns; .22-caliber Harrington & Richardson revolver",N,1,Y,Known; Unknown,y
Mother Jones|1999|36418|15|Fort Worth,y,y,,Mother Jones,1999,5,,9/15/1999,8,7,15,White,Male,47,Tarrant,Texas,Fort Worth,Tarrant,Texas,Wedgwood Baptist Chruch,Religious,Indoors,Public,Non-residential,32.66451,-97.3842,1,2,".380-caliber, 9mm Ruger P85 semiautomatic handguns",N,1,Y,Unknown,y
LA Times|2001|36955|15|Santee,y,,y,LA Times,2001,6,,3/5/2001,2,13,15,White,Male,15,San Diego,California,Santee,San Diego,California,Santana High School,School,Indoors,Public,Non-residential,32.8381524,-116.9692037,1,1,Arminius .22 caliber revolver,N,1,Y,Known,y
Mother Jones|2003|37810|15|Meridian,y,,,Mother Jones,2003,7,,7/8/2003,7,8,15,White,Male,48,Lauderdale,Mississippi,Meridian,Lauderdale,Mississippi,Lockheed Martin,Manufacturing,Indoors,Private,Non-residential,32.41084,-88.6345,1,5,".45-caliber Ruger P90 semiautomatic handgun; .22-caliber rifle with scope, .223-caliber Ruger Mini-14 rifle; 12-gauge Winchester 1300 shotgun; .22 Magnum derringer",Y,1,Y,Known,y
VPC HC|2005|38424|8|Brookfield,,y,,VPC HC,2005,8,,3/13/2005,8,0,8,White,Male,44,Waukesha,Wisconsin,Brookfield,Waukesha,Wisconsin,Sheraton hotel,Hotel,Indoors,Public,Non-residential,43.06057,-88.1065,1,1,9mm Beretta semiautomatic handgun,N,1,Y,Known,y
Mother Jones|2005|38432|15|Red Lake,y,y,,Mother Jones,2005,9,,3/21/2005,10,5,15,Native American,Male,16,Beltrami,Minnesota,Red Lake,Beltrami,Minnesota,Single family home; Red Lake Senior High School,Residence; School,Indoors,Private; Public,Mixed,47.87635,-95.0169,2,3,".40-caliber Glock 23, .22-caliber Ruger semiautomatic handguns; 12-gauge Remington 870 shotgun",N,1,Y,Known; Unknown,y
Mother Jones|2006|38747|8|Goleta,,y,,Mother Jones,2006,10,,1/30/2006,8,0,8,White,Female,44,Cibola,New Mexico,Goleta,Santa Barbara,California,Single family home; USPS processing plant,Residence; Manufacturing,Indoors,Private; Public,Mixed,34.42557,-119.866,2,1,9mm Smith & Wesson 915 semiautomatic handgun,N,1,Y,Known; Unknown,y
